Description	
Number of Runs	15
Preset Time	30
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	900	1195	30	11/10/23 10:04:22 AM	
2	900	605	30	11/10/23 10:04:52 AM	
3	900	392	30	11/10/23 10:05:22 AM	
4	900	262	30	11/10/23 10:05:52 AM	
5	900	191	30	11/10/23 10:06:23 AM	
6	900	170	30	11/10/23 10:06:53 AM	
7	900	136	30	11/10/23 10:07:23 AM	
8	900	130	30	11/10/23 10:07:53 AM	
9	900	106	30	11/10/23 10:08:23 AM	
10	900	96	30	11/10/23 10:08:53 AM	
11	900	81	30	11/10/23 10:09:23 AM	
12	900	71	30	11/10/23 10:09:54 AM	
13	900	59	30	11/10/23 10:10:24 AM	
14	900	55	30	11/10/23 10:10:54 AM	
15	900	49	30	11/10/23 10:11:24 AM	
